id,brand,name,current_price,original_price,discount,image_url,local_image,product_url,category,scraped_at,updated_at
prod_1768014988_9212,Burton,Men's Burton Custom X Snowboard + X EST Snowboard Bindings Package,$750.00,$1331.91,-43%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle71.jpg,Burton_Men's_Burton_Custom_X_Snowboar_4988.jpg,https://snowboards.com/product/equipment-snowboards/52544/burton-custom-x-snowboard-x-est-snowboard-bindings-package,男子雪板,2026-01-10T03:16:28.457160,2026-01-10 03:16:28
prod_1768014988_1448,Burton,Burton Unisex Family Tree Hometown Hero Split Board,$750.00,$999.95,-24%,https://snowboards.com/files/store/items/lg/2/2/22240103000_1.jpg,Burton_Burton_Unisex_Family_Tree_Home_4988.jpg,https://snowboards.com/product/equipment-snowboards/49656/burton-unisex-family-tree-hometown-hero-split-board,雪板,2026-01-10T03:16:28.478187,2026-01-10 03:16:28
prod_1768014988_5470,Burton,Men's Burton Counterbalance Snowboard + Genesis Re:Flex Snowboard Bindings Package,$750.00,$917.91,-18%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle72.jpg,Burton_Men's_Burton_Counterbalance_Sn_4988.jpg,https://snowboards.com/product/equipment-snowboards/52545/burton-counterbalance-snowboard-genesis-re-flex-snowboard-bindings-package,男子雪板,2026-01-10T03:16:28.495950,2026-01-10 03:16:28
prod_1768014988_9984,Burton,Burton Men's Custom X Snowboard,$750.00,$899.95,-16%,https://snowboards.com/files/store/items/lg/f/w/fw26-custom-x.jpg,Burton_Burton_Men's_Custom_X_Snowboar_4988.jpg,https://snowboards.com/product/equipment-snowboards/51142/burton-mens-custom-x-snowboard,男子雪板,2026-01-10T03:16:28.516724,2026-01-10 03:16:28
prod_1768014988_6527,Lib Tech,Lib Tech Men's Golden Orca Hybrid C2X Snowboard,$750.00,$849.99,-11%,https://snowboards.com/files/store/items/lg/f/w/fw26-1-lib-trice-golden-orca.jpg,Lib Tech_Lib_Tech_Men's_Golden_Orca_Hyb_4988.jpg,https://snowboards.com/product/equipment-snowboards/51408/lib-tech-lib-tech-mens-golden-orca-hybrid-c2x-snowboard,男子雪板,2026-01-10T03:16:28.532883,2026-01-10 03:16:28
prod_1768014988_1601,Burton,Women's Burton Yeasayer Snowboard + Burton Lexa Snowboard Bindings Package,$750.00,$829.90,-9%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle76.jpg,Burton_Women's_Burton_Yeasayer_Snowbo_4988.jpg,https://snowboards.com/product/equipment-snowboards/52549/burton-womens-burton-yeasayer-snowboard-burton-lexa-snowboard-bindings-package,男子雪板,2026-01-10T03:16:28.550410,2026-01-10 03:16:28
prod_1768014988_6299,Capita,Capita Men's Super Defenders of Awesome D.O.A. Snowboard,$750.00,$799.95,-6%,https://snowboards.com/files/store/items/lg/f/w/fw26-1capitasuperd.o.a.snowboard2026-men_s.jpg,Capita_Capita_Men's_Super_Defenders_o_4988.jpg,https://snowboards.com/product/equipment-snowboards/51055/capita-mens-super-defenders-of-awesome-doa-snowboard,男子雪板,2026-01-10T03:16:28.567621,2026-01-10 03:16:28
prod_1768014988_8625,Burton,Men's Burton Process Snowboard + Mission Re:Flex Bindings Package,$750.00,$799.90,-6%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle75.jpg,Burton_Men's_Burton_Process_Snowboard_4988.jpg,https://snowboards.com/product/equipment-snowboards/52548/burton-mens-burton-process-snowboard-mission-re-flex-bindings-package,男子雪板,2026-01-10T03:16:28.583615,2026-01-10 03:16:28
prod_1768014988_7847,Burton,Women's Burton Rewind Snowboard + Burton Mission Re:Flex Bindings Package,$750.00,$779.90,-3%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle77.jpg,Burton_Women's_Burton_Rewind_Snowboar_4988.jpg,https://snowboards.com/product/equipment-snowboards/52550/burton-womens-burton-rewind-snowboard-burton-mission-re-flex-bindings-package,男子雪板,2026-01-10T03:16:28.598926,2026-01-10 03:16:28
prod_1768014988_7334,Lib Tech,Lib Tech Men's Son of Birdman Snowboard,$749.99,$750.00,-0%,https://snowboards.com/files/store/items/lg/f/w/fw25-lib-25sn032-son-of-birdman.jpg,Lib Tech_Lib_Tech_Men's_Son_of_Birdman__4988.jpg,https://snowboards.com/product/equipment-snowboards/50711/lib-tech-lib-tech-mens-son-of-birdman-snowboard,男子雪板,2026-01-10T03:16:28.614375,2026-01-10 03:16:28
prod_1768014988_9241,Salomon,Salomon Men's Fastlane Snowboard,$749.95,$750.00,-0%,https://snowboards.com/files/store/items/lg/f/w/fw26-l47947100_0_vir_fastlane_160_rendition_jpg-2000px-max.jpg,Salomon_Salomon_Men's_Fastlane_Snowboa_4988.jpg,https://snowboards.com/product/equipment-snowboards/51812/salomon-snowboards-salomon-mens-fastlane-snowboard,男子雪板,2026-01-10T03:16:28.630799,2026-01-10 03:16:28
prod_1768014988_4174,Capita,Capita Men's Black Snowboard of Death Snowboard,$749.95,$750.00,-0%,https://snowboards.com/files/store/items/lg/f/w/fw26-1capitablacksnowboardofdeath.jpg,Capita_Capita_Men's_Black_Snowboard_o_4988.jpg,https://snowboards.com/product/equipment-snowboards/51056/capita-mens-black-snowboard-of-death-snowboard,男子雪板,2026-01-10T03:16:28.646888,2026-01-10 03:16:28
prod_1768014988_2893,Burton,Burton Unisex Family Tree Sketch Artist Snowboard,$729.95,$750.00,-2%,https://snowboards.com/files/store/items/lg/f/w/fw26-ftsketch.jpg,Burton_Burton_Unisex_Family_Tree_Sket_4988.jpg,https://snowboards.com/product/equipment-snowboards/51152/burton-unisex-family-tree-sketch-artist-snowboard,雪板,2026-01-10T03:16:28.663015,2026-01-10 03:16:28
prod_1768014988_3810,Burton,Men's Burton Cartographer Snowboard + Cartel Re:Flex Snowboard Bindings Pacakge,$701.91,$750.00,-6%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle73.jpg,Burton_Men's_Burton_Cartographer_Snow_4988.jpg,https://snowboards.com/product/equipment-snowboards/52546/burton-cartographer-snowboard-cartel-re-flex-snowboard-bindings-pacakge,男子雪板,2026-01-10T03:16:28.678610,2026-01-10 03:16:28
prod_1768014988_5458,Never Summer,Never Summer Men's V-Twin Triple Camber Hybrid Snowboard,$699.99,$750.00,-6%,https://snowboards.com/files/store/items/lg/f/w/fw26-1-v-twin_web.jpg,Never Summer_Never_Summer_Men's_V-Twin_Trip_4988.jpg,https://snowboards.com/product/equipment-snowboards/51565/never-summer-mens-v-twin-triple-camber-hybrid-snowboard,男子雪板,2026-01-10T03:16:28.694342,2026-01-10 03:16:28
prod_1768014988_7808,Lib Tech,Lib Tech Men's Skunk Ape Camber Snowboard,$699.99,$750.00,-6%,https://snowboards.com/files/store/items/lg/f/w/fw26-1-lib-skunk-ape-camber.jpg,Lib Tech_Lib_Tech_Men's_Skunk_Ape_Cambe_4988.jpg,https://snowboards.com/product/equipment-snowboards/51411/lib-tech-lib-tech-mens-skunk-ape-camber-snowboard-254615,男子雪板,2026-01-10T03:16:28.710345,2026-01-10 03:16:28
