id,brand,name,current_price,original_price,discount,image_url,local_image,product_url,category,scraped_at,updated_at
prod_1768965907_6841,Burton,Men's Burton Custom X Snowboard + X EST Snowboard Bindings Package,$350.00,$1331.91,-73%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle71.jpg,Burton_Men's_Burton_Custom_X_Snowboar_5907.jpg,https://snowboards.com/product/equipment-snowboards/52544/burton-custom-x-snowboard-x-est-snowboard-bindings-package,男子雪板,2026-01-21T03:25:07.112294,2026-01-21 03:25:07
prod_1768965907_5810,Burton,Burton Unisex Family Tree Hometown Hero Split Board,$350.00,$999.95,-64%,https://snowboards.com/files/store/items/lg/2/2/22240103000_1.jpg,Burton_Burton_Unisex_Family_Tree_Home_5907.jpg,https://snowboards.com/product/equipment-snowboards/49656/burton-unisex-family-tree-hometown-hero-split-board,雪板,2026-01-21T03:25:07.126268,2026-01-21 03:25:07
prod_1768965907_9336,Burton,Men's Burton Counterbalance Snowboard + Genesis Re:Flex Snowboard Bindings Package,$350.00,$917.91,-61%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle72.jpg,Burton_Men's_Burton_Counterbalance_Sn_5907.jpg,https://snowboards.com/product/equipment-snowboards/52545/burton-counterbalance-snowboard-genesis-re-flex-snowboard-bindings-package,男子雪板,2026-01-21T03:25:07.140830,2026-01-21 03:25:07
prod_1768965907_2437,Burton,Burton Men's Custom X Snowboard,$350.00,$899.95,-61%,https://snowboards.com/files/store/items/lg/f/w/fw26-custom-x.jpg,Burton_Burton_Men's_Custom_X_Snowboar_5907.jpg,https://snowboards.com/product/equipment-snowboards/51142/burton-mens-custom-x-snowboard,男子雪板,2026-01-21T03:25:07.154893,2026-01-21 03:25:07
prod_1768965907_1036,Lib Tech,Lib Tech Men's Golden Orca Hybrid C2X Snowboard,$350.00,$849.99,-58%,https://snowboards.com/files/store/items/lg/f/w/fw26-1-lib-trice-golden-orca.jpg,Lib Tech_Lib_Tech_Men's_Golden_Orca_Hyb_5907.jpg,https://snowboards.com/product/equipment-snowboards/51408/lib-tech-lib-tech-mens-golden-orca-hybrid-c2x-snowboard,男子雪板,2026-01-21T03:25:07.169906,2026-01-21 03:25:07
prod_1768965907_4761,Burton,Women's Burton Yeasayer Snowboard + Burton Lexa Snowboard Bindings Package,$350.00,$829.90,-57%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle76.jpg,Burton_Women's_Burton_Yeasayer_Snowbo_5907.jpg,https://snowboards.com/product/equipment-snowboards/52549/burton-womens-burton-yeasayer-snowboard-burton-lexa-snowboard-bindings-package,男子雪板,2026-01-21T03:25:07.183698,2026-01-21 03:25:07
prod_1768965907_3563,Capita,Capita Men's Super Defenders of Awesome D.O.A. Snowboard,$350.00,$799.95,-56%,https://snowboards.com/files/store/items/lg/f/w/fw26-1capitasuperd.o.a.snowboard2026-men_s.jpg,Capita_Capita_Men's_Super_Defenders_o_5907.jpg,https://snowboards.com/product/equipment-snowboards/51055/capita-mens-super-defenders-of-awesome-doa-snowboard,男子雪板,2026-01-21T03:25:07.200619,2026-01-21 03:25:07
prod_1768965907_7998,Burton,Men's Burton Process Snowboard + Mission Re:Flex Bindings Package,$350.00,$799.90,-56%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle75.jpg,Burton_Men's_Burton_Process_Snowboard_5907.jpg,https://snowboards.com/product/equipment-snowboards/52548/burton-mens-burton-process-snowboard-mission-re-flex-bindings-package,男子雪板,2026-01-21T03:25:07.216924,2026-01-21 03:25:07
prod_1768965907_9851,Burton,Women's Burton Rewind Snowboard + Burton Mission Re:Flex Bindings Package,$350.00,$779.90,-55%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle77.jpg,Burton_Women's_Burton_Rewind_Snowboar_5907.jpg,https://snowboards.com/product/equipment-snowboards/52550/burton-womens-burton-rewind-snowboard-burton-mission-re-flex-bindings-package,男子雪板,2026-01-21T03:25:07.231973,2026-01-21 03:25:07
prod_1768965907_3713,Lib Tech,Lib Tech Men's Son of Birdman Snowboard,$350.00,$749.99,-53%,https://snowboards.com/files/store/items/lg/f/w/fw25-lib-25sn032-son-of-birdman.jpg,Lib Tech_Lib_Tech_Men's_Son_of_Birdman__5907.jpg,https://snowboards.com/product/equipment-snowboards/50711/lib-tech-lib-tech-mens-son-of-birdman-snowboard,男子雪板,2026-01-21T03:25:07.246307,2026-01-21 03:25:07
