id,brand,name,current_price,original_price,discount,image_url,local_image,product_url,category,scraped_at,updated_at
prod_1768533736_5846,Burton,Men's Burton Custom X Snowboard + X EST Snowboard Bindings Package,$750.00,$1331.91,-43%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle71.jpg,Burton_Men's_Burton_Custom_X_Snowboar_3736.jpg,https://snowboards.com/product/equipment-snowboards/52544/burton-custom-x-snowboard-x-est-snowboard-bindings-package,男子雪板,2026-01-16T03:22:16.948971,2026-01-16 03:22:16
prod_1768533736_5468,Burton,Burton Unisex Family Tree Hometown Hero Split Board,$750.00,$999.95,-24%,https://snowboards.com/files/store/items/lg/2/2/22240103000_1.jpg,Burton_Burton_Unisex_Family_Tree_Home_3736.jpg,https://snowboards.com/product/equipment-snowboards/49656/burton-unisex-family-tree-hometown-hero-split-board,雪板,2026-01-16T03:22:16.971493,2026-01-16 03:22:16
prod_1768533737_9665,Burton,Men's Burton Counterbalance Snowboard + Genesis Re:Flex Snowboard Bindings Package,$750.00,$917.91,-18%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle72.jpg,Burton_Men's_Burton_Counterbalance_Sn_3736.jpg,https://snowboards.com/product/equipment-snowboards/52545/burton-counterbalance-snowboard-genesis-re-flex-snowboard-bindings-package,男子雪板,2026-01-16T03:22:17.002815,2026-01-16 03:22:17
prod_1768533737_9809,Burton,Burton Men's Custom X Snowboard,$750.00,$899.95,-16%,https://snowboards.com/files/store/items/lg/f/w/fw26-custom-x.jpg,Burton_Burton_Men's_Custom_X_Snowboar_3737.jpg,https://snowboards.com/product/equipment-snowboards/51142/burton-mens-custom-x-snowboard,男子雪板,2026-01-16T03:22:17.022949,2026-01-16 03:22:17
prod_1768533737_7686,Lib Tech,Lib Tech Men's Golden Orca Hybrid C2X Snowboard,$750.00,$849.99,-11%,https://snowboards.com/files/store/items/lg/f/w/fw26-1-lib-trice-golden-orca.jpg,Lib Tech_Lib_Tech_Men's_Golden_Orca_Hyb_3737.jpg,https://snowboards.com/product/equipment-snowboards/51408/lib-tech-lib-tech-mens-golden-orca-hybrid-c2x-snowboard,男子雪板,2026-01-16T03:22:17.043600,2026-01-16 03:22:17
prod_1768533737_6538,Burton,Women's Burton Yeasayer Snowboard + Burton Lexa Snowboard Bindings Package,$750.00,$829.90,-9%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle76.jpg,Burton_Women's_Burton_Yeasayer_Snowbo_3737.jpg,https://snowboards.com/product/equipment-snowboards/52549/burton-womens-burton-yeasayer-snowboard-burton-lexa-snowboard-bindings-package,男子雪板,2026-01-16T03:22:17.062616,2026-01-16 03:22:17
prod_1768533737_6749,Capita,Capita Men's Super Defenders of Awesome D.O.A. Snowboard,$750.00,$799.95,-6%,https://snowboards.com/files/store/items/lg/f/w/fw26-1capitasuperd.o.a.snowboard2026-men_s.jpg,Capita_Capita_Men's_Super_Defenders_o_3737.jpg,https://snowboards.com/product/equipment-snowboards/51055/capita-mens-super-defenders-of-awesome-doa-snowboard,男子雪板,2026-01-16T03:22:17.082831,2026-01-16 03:22:17
prod_1768533737_4413,Burton,Men's Burton Process Snowboard + Mission Re:Flex Bindings Package,$750.00,$799.90,-6%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle75.jpg,Burton_Men's_Burton_Process_Snowboard_3737.jpg,https://snowboards.com/product/equipment-snowboards/52548/burton-mens-burton-process-snowboard-mission-re-flex-bindings-package,男子雪板,2026-01-16T03:22:17.102413,2026-01-16 03:22:17
prod_1768533737_6147,Burton,Women's Burton Rewind Snowboard + Burton Mission Re:Flex Bindings Package,$750.00,$779.90,-3%,https://snowboards.com/files/store/items/lg/f/w/fw26-bundle77.jpg,Burton_Women's_Burton_Rewind_Snowboar_3737.jpg,https://snowboards.com/product/equipment-snowboards/52550/burton-womens-burton-rewind-snowboard-burton-mission-re-flex-bindings-package,男子雪板,2026-01-16T03:22:17.125020,2026-01-16 03:22:17
prod_1768533737_7455,Lib Tech,Lib Tech Men's Son of Birdman Snowboard,$749.99,$750.00,-0%,https://snowboards.com/files/store/items/lg/f/w/fw25-lib-25sn032-son-of-birdman.jpg,Lib Tech_Lib_Tech_Men's_Son_of_Birdman__3737.jpg,https://snowboards.com/product/equipment-snowboards/50711/lib-tech-lib-tech-mens-son-of-birdman-snowboard,男子雪板,2026-01-16T03:22:17.143459,2026-01-16 03:22:17
prod_1768533737_6431,Salomon,Salomon Men's Fastlane Snowboard,$749.95,$750.00,-0%,https://snowboards.com/files/store/items/lg/f/w/fw26-l47947100_0_vir_fastlane_160_rendition_jpg-2000px-max.jpg,Salomon_Salomon_Men's_Fastlane_Snowboa_3737.jpg,https://snowboards.com/product/equipment-snowboards/51812/salomon-snowboards-salomon-mens-fastlane-snowboard,男子雪板,2026-01-16T03:22:17.162754,2026-01-16 03:22:17
prod_1768533737_8313,Capita,Capita Men's Black Snowboard of Death Snowboard,$749.95,$750.00,-0%,https://snowboards.com/files/store/items/lg/f/w/fw26-1capitablacksnowboardofdeath.jpg,Capita_Capita_Men's_Black_Snowboard_o_3737.jpg,https://snowboards.com/product/equipment-snowboards/51056/capita-mens-black-snowboard-of-death-snowboard,男子雪板,2026-01-16T03:22:17.184699,2026-01-16 03:22:17
prod_1768533737_5546,Burton,Burton Unisex Family Tree Sketch Artist Snowboard,$729.95,$750.00,-2%,https://snowboards.com/files/store/items/lg/f/w/fw26-ftsketch.jpg,Burton_Burton_Unisex_Family_Tree_Sket_3737.jpg,https://snowboards.com/product/equipment-snowboards/51152/burton-unisex-family-tree-sketch-artist-snowboard,雪板,2026-01-16T03:22:17.203548,2026-01-16 03:22:17
